day,price0,price1,price2,price3
2020/1/8,27,28,28,28
2020/1/9,27,27,28,28
2020/1/10,27,27,28,28
2020/1/11,27,27,28,28
2020/1/12,27,27,28,28
2020/1/13,27,27,28,28
2020/1/14,27,27,28,28
2020/1/15,27,27,28,28
2020/1/16,27,26,28,28
2020/1/17,28,26,28,28
2020/1/18,28,26,28,28
2020/1/19,28,26,28,28
2020/1/20,28,26,28,28
2020/1/21,30,26,28,28
2020/1/22,30,26,28,28
2020/1/23,30,26,28,28
2020/1/24,30,26,28,28
2020/1/25,30,26,28,28
2020/1/26,28,29,28,28
2020/1/27,35,29,28,28
2020/1/28,35,27,28,29
2020/1/29,35,27,28,29
2020/1/30,35,27,28,29
2020/1/31,35,28,28,29
2020/2/1,35,28,28,29
2020/2/2,35,28,28,29
2020/2/3,33,28,28,30
2020/2/4,33,28,28,30
2020/2/5,33,28,28,30
2020/2/6,33,30,28,30
2020/2/7,33,30,28,30
2020/2/8,33,30,28,30
2020/2/9,33,30,28,32
2020/2/10,33,30,28,32
2020/2/11,33,30,28,32
2020/2/12,33,31,28,32
2020/2/13,33,31,28,32
2020/2/14,33,31,28,32
2020/2/15,33,31,28,32
2020/2/16,33,31,28,32
2020/2/17,33,30,30,32
2020/2/18,33,30,30,32
2020/2/19,33,30,30,32
2020/2/20,33,30,30,32
2020/2/21,33,30,30,32
2020/2/22,33,30,30,32
2020/2/23,33,30,30,32
2020/2/24,33,30,30,32
2020/2/25,33,30,30,32
2020/2/26,32,30,30,32
2020/2/27,32,30,30,32
2020/2/28,32,30,30,32
2020/2/29,32,30,30,32
2020/3/1,32,29,30,30
2020/3/2,32,29,30,30
2020/3/3,32,29,30,30
2020/3/4,32,29,30,30
2020/3/5,32,29,30,30
2020/3/6,32,29,30,30
2020/3/7,32,29,30,30
2020/3/8,32,29,30,30
2020/3/9,32,29,30,30
2020/3/10,30,29,30,30
2020/3/11,30,29,30,30
2020/3/12,30,29,30,30
2020/3/13,28,29,30,30
2020/3/14,28,29,30,30
